"symbol","year","index100"
"AAPL",2017,148.042488399031
"AAPL",2018,140.0627534446
"AAPL",2019,264.659481654159
"AAPL",2020,482.492084721986
"AAPL",2021,649.666965370712
"AAPL",2022,478.127555064258
"AAPL",2023,712.448507678951
"AAPL",2024,931.207595709241
"AAPL",2025,796.019055251527
"KO",2017,113.451744394463
"KO",2018,121.136375007999
"KO",2019,146.089743578275
"KO",2020,149.696881543078
"KO",2021,166.72113286837
"KO",2022,184.409558165377
"KO",2023,176.231863211053
"KO",2024,191.876860702435
"KO",2025,223.088671966342
"MELI",2017,195.872010066794
"MELI",2018,182.295552901489
"MELI",2019,356.025667742963
"MELI",2020,1042.80397618634
"MELI",2021,839.362550315448
"MELI",2022,526.774060754487
"MELI",2023,978.264484742606
"MELI",2024,1058.50309999603
"MELI",2025,1564.96545713281
"PFE",2017,114.075452454557
"PFE",2018,142.387757048832
"PFE",2019,132.551706068769
"PFE",2020,136.620395498613
"PFE",2021,227.739433024803
"PFE",2022,204.03636236372
"PFE",2023,119.842587086925
"PFE",2024,117.185614699948
"PFE",2025,116.133318077472
"TM",2017,110.820896566417
"TM",2018,104.382519868782
"TM",2019,128.072063631266
"TM",2020,145.520265697866
"TM",2021,179.289556393445
"TM",2022,135.488100715128
"TM",2023,187.280733906816
"TM",2024,203.917452670869
"TM",2025,183.254319209173
"Inflación USD",2017,97.9
"Inflación USD",2018,95.5504
"Inflación USD",2019,93.8304928
"Inflación USD",2020,92.7045268864
"Inflación USD",2021,88.3474141227392
"Inflación USD",2022,81.2796209929201
"Inflación USD",2023,77.9471565322103
"Inflación USD",2024,75.6866889927762
"Inflación USD",2025,73.718835078964
