"symbol","date","adjusted"
"AAPL",2017-07-14,34.7158203125
"AAPL",2017-07-17,34.8369445800781
"AAPL",2017-07-18,34.958065032959
"AAPL",2017-07-19,35.1770172119141
"AAPL",2017-07-20,35.0186233520508
"AAPL",2017-07-21,35.002326965332
"AAPL",2017-07-24,35.4262619018555
"AAPL",2017-07-25,35.5776672363281
"AAPL",2017-07-26,35.7453689575195
"AAPL",2017-07-27,35.0698699951172
"AAPL",2017-07-28,34.8229789733887
"AAPL",2017-07-31,34.643611907959
"AAPL",2017-08-01,34.9510841369629
"AAPL",2017-08-02,36.6025581359863
"AAPL",2017-08-03,36.2368545532227
"AAPL",2017-08-04,36.4278526306152
"AAPL",2017-08-07,36.9915428161621
"AAPL",2017-08-08,37.2873764038086
"AAPL",2017-08-09,37.5156326293945
"AAPL",2017-08-10,36.320686340332
"AAPL",2017-08-11,36.8257865905762
"AAPL",2017-08-14,37.3800086975098
"AAPL",2017-08-15,37.7892303466797
"AAPL",2017-08-16,37.6372451782227
"AAPL",2017-08-17,36.9146614074707
"AAPL",2017-08-18,36.8304748535156
"AAPL",2017-08-21,36.7626647949219
"AAPL",2017-08-22,37.3636360168457
"AAPL",2017-08-23,37.4104080200195
"AAPL",2017-08-24,37.2443695068359
"AAPL",2017-08-25,37.3823432922363
"AAPL",2017-08-28,37.7588386535645
"AAPL",2017-08-29,38.0955848693848
"AAPL",2017-08-30,38.1984672546387
"AAPL",2017-08-31,38.3504753112793
"AAPL",2017-09-01,38.3621559143066
"AAPL",2017-09-05,37.9014778137207
"AAPL",2017-09-06,37.8617210388184
"AAPL",2017-09-07,37.7097206115723
"AAPL",2017-09-08,37.0947189331055
"AAPL",2017-09-11,37.7658538818359
"AAPL",2017-09-12,37.6161880493164
"AAPL",2017-09-13,37.3332405090332
"AAPL",2017-09-14,37.0128746032715
"AAPL",2017-09-15,37.3870048522949
"AAPL",2017-09-18,37.1040687561035
"AAPL",2017-09-19,37.1181106567383
"AAPL",2017-09-20,36.4960823059082
"AAPL",2017-09-21,35.8693733215332
"AAPL",2017-09-22,35.5186080932617
"AAPL",2017-09-25,35.205265045166
"AAPL",2017-09-26,35.8109130859375
"AAPL",2017-09-27,36.0658073425293
"AAPL",2017-09-28,35.8436584472656
"AAPL",2017-09-29,36.0400848388672
"AAPL",2017-10-02,35.9675903320312
"AAPL",2017-10-03,36.1242637634277
"AAPL",2017-10-04,35.8904151916504
"AAPL",2017-10-05,36.3370628356934
"AAPL",2017-10-06,36.3160171508789
"AAPL",2017-10-09,36.4422912597656
"AAPL",2017-10-10,36.4563293457031
"AAPL",2017-10-11,36.6083183288574
"AAPL",2017-10-12,36.4797019958496
"AAPL",2017-10-13,36.7112197875977
"AAPL",2017-10-16,37.3870048522949
"AAPL",2017-10-17,37.5249938964844
"AAPL",2017-10-18,37.3589553833008
"AAPL",2017-10-19,36.4750366210938
"AAPL",2017-10-20,36.5381698608398
"AAPL",2017-10-23,36.519458770752
"AAPL",2017-10-24,36.7369384765625
"AAPL",2017-10-25,36.5755882263184
"AAPL",2017-10-26,36.8094291687012
"AAPL",2017-10-27,38.1283111572266
"AAPL",2017-10-30,38.986515045166
"AAPL",2017-10-31,39.5290298461914
"AAPL",2017-11-01,39.0262718200684
"AAPL",2017-11-02,39.3115692138672
"AAPL",2017-11-03,40.3381271362305
"AAPL",2017-11-06,40.7473678588867
"AAPL",2017-11-07,40.8783111572266
"AAPL",2017-11-08,41.2127265930176
"AAPL",2017-11-09,41.1285285949707
"AAPL",2017-11-10,40.9924087524414
"AAPL",2017-11-13,40.8281402587891
"AAPL",2017-11-14,40.2109222412109
"AAPL",2017-11-15,39.6805381774902
"AAPL",2017-11-16,40.1546020507812
"AAPL",2017-11-17,39.9316368103027
"AAPL",2017-11-20,39.8917427062988
"AAPL",2017-11-21,40.6333541870117
"AAPL",2017-11-22,41.0604782104492
"AAPL",2017-11-24,41.0628242492676
"AAPL",2017-11-27,40.8563079833984
"AAPL",2017-11-28,40.6169166564941
"AAPL",2017-11-29,39.7743949890137
"AAPL",2017-11-30,40.3306121826172
"AAPL",2017-12-01,40.1428489685059
"AAPL",2017-12-04,39.849494934082
"AAPL",2017-12-05,39.8119430541992
"AAPL",2017-12-06,39.6640968322754
"AAPL",2017-12-07,39.7368507385254
"AAPL",2017-12-08,39.7485885620117
"AAPL",2017-12-11,40.5230445861816
"AAPL",2017-12-12,40.2953987121582
"AAPL",2017-12-13,40.4291763305664
"AAPL",2017-12-14,40.4174346923828
"AAPL",2017-12-15,40.8281402587891
"AAPL",2017-12-18,41.4031181335449
"AAPL",2017-12-19,40.9619102478027
"AAPL",2017-12-20,40.9173126220703
"AAPL",2017-12-21,41.0722007751465
"AAPL",2017-12-22,41.0722007751465
"AAPL",2017-12-26,40.0302124023438
"AAPL",2017-12-27,40.0372352600098
"AAPL",2017-12-28,40.1498985290527
"AAPL",2017-12-29,39.7157249450684
"AAPL",2018-01-02,40.4268188476562
"AAPL",2018-01-03,40.4197807312012
"AAPL",2018-01-04,40.6075401306152
"AAPL",2018-01-05,41.0698547363281
"AAPL",2018-01-08,40.9173126220703
"AAPL",2018-01-09,40.9126091003418
"AAPL",2018-01-10,40.9032440185547
"AAPL",2018-01-11,41.1355781555176
"AAPL",2018-01-12,41.5603485107422
"AAPL",2018-01-16,41.3491325378418
"AAPL",2018-01-17,42.0320739746094
"AAPL",2018-01-18,42.0696182250977
"AAPL",2018-01-19,41.8818778991699
"AAPL",2018-01-22,41.5392303466797
"AAPL",2018-01-23,41.5486145019531
"AAPL",2018-01-24,40.8868103027344
"AAPL",2018-01-25,40.1569404602051
"AAPL",2018-01-26,40.250804901123
"AAPL",2018-01-29,39.4176826477051
"AAPL",2018-01-30,39.1853446960449
"AAPL",2018-01-31,39.2932929992676
"AAPL",2018-02-01,39.3754348754883
"AAPL",2018-02-02,37.6669273376465
"AAPL",2018-02-05,36.7258567810059
"AAPL",2018-02-06,38.2606773376465
"AAPL",2018-02-07,37.4416275024414
"AAPL",2018-02-08,36.4113616943359
"AAPL",2018-02-09,36.8567237854004
"AAPL",2018-02-12,38.3412704467773
"AAPL",2018-02-13,38.7253684997559
