"date","AAPL","MELI","KO","PFE","TM"
"2017-01-03",26.8272457122803,160.645736694336,31.9828109741211,21.8542003631592,95.4356842041016
"2017-01-04",26.7972221374512,165.434585571289,31.8680229187012,22.0462455749512,97.5609512329102
"2017-01-05",26.9334926605225,170.881866455078,31.944543838501,22.2581653594971,96.9571762084961
"2017-01-06",27.2337532043457,171.759826660156,31.9368953704834,22.1720733642578,96.7076034545898
"2017-01-09",27.4832038879395,173.705307006836,31.6155433654785,22.1654529571533,96.3936614990234
"2017-01-10",27.5109176635742,177.376739501953,31.4012832641602,22.1455860137939,96.4097595214844
"2017-01-11",27.6587409973145,176.339157104492,31.4089431762695,21.7416191101074,96.5305252075195
"2017-01-12",27.5432567596436,172.78742980957,31.3324241638184,21.5893020629883,96.3131561279297
"2017-01-13",27.4947528839111,176.039855957031,31.2788753509521,21.5363140106201,96.4500045776367
"2017-01-17",27.7164878845215,177.636138916016,31.5390224456787,21.2316856384277,95.3229904174805
"2017-01-18",27.7141761779785,174.852615356445,31.5925827026367,21.2118186950684,95.6288833618164
"2017-01-19",27.6656684875488,174.493453979492,31.4778156280518,20.9932746887207,96.0475006103516
"2017-01-20",27.7164878845215,175.760513305664,31.6155433654785,21.0396327972412,95.7335433959961
"2017-01-23",27.7349586486816,178.304580688477,31.6996974945068,20.8343334197998,95.2263793945312
"2017-01-24",27.7095489501953,182.883911132812,32.0593147277832,20.6290378570557,94.7031173706055
"2017-01-25",28.150707244873,182.953750610352,32.2276496887207,20.721752166748,95.8462524414062
"2017-01-26",28.1645660400391,182.943771362305,31.9904556274414,20.7151298522949,95.7818450927734
"2017-01-27",28.1668758392334,182.205490112305,31.7150039672852,20.8078422546387,93.9383163452148
"2017-01-30",28.0929565429688,184.689712524414,31.6614456176758,20.7349948883057,93.439208984375
"2017-01-31",28.0282917022705,184.959091186523,31.8068237304688,21.0131359100342,93.1816101074219
"2017-02-01",29.7374725341797,188.141647338867,31.5696182250977,21.1870803833008,92.7871398925781
"2017-02-02",29.6866645812988,188.181564331055,31.6767482757568,21.2272148132324,92.1994857788086
"2017-02-03",29.8136978149414,189.7080078125,31.7838764190674,21.4680614471436,92.6744613647461
"2017-02-06",30.0931644439697,191.294326782227,31.7991752624512,21.5617179870605,91.2173614501953
"2017-02-07",30.3795776367188,191.164627075195,32.0593147277832,21.4613704681396,90.9999923706055
"2017-02-08",30.4973602294922,191.404052734375,32.1511268615723,21.5015087127686,91.1851501464844
"2017-02-09",30.7177448272705,191.264389038086,31.5619773864746,21.6620712280273,90.0983657836914
"2017-02-10",30.6481513977051,194.826080322266,31.0493335723877,21.6420001983643,90.8792495727539
"2017-02-13",30.9195652008057,194.666458129883,31.0799331665039,21.8159351348877,91.8774719238281
"2017-02-14",31.3208694458008,196.611923217773,31.011079788208,21.9095916748047,92.1511764526367
"2017-02-15",31.434534072876,199.465255737305,30.9422168731689,22.418025970459,91.4588623046875
"2017-02-16",31.3974170684814,197.549728393555,31.5237216949463,22.4916248321533,91.2495651245117
"2017-02-17",31.4832553863525,197.96875,31.5466690063477,22.4916248321533,91.5313186645508
"2017-02-21",31.7105903625488,198.038604736328,31.7226657867432,22.4916248321533,92.0143280029297
"2017-02-22",31.805700302124,199.944183349609,31.8297729492188,22.4715557098389,92.0948333740234
"2017-02-23",31.6711483001709,199.355545043945,31.8756771087646,22.785982131958,92.2477722167969
"2017-02-24",31.701301574707,207.307006835938,31.9674968719482,22.9197788238525,91.5876541137695
"2017-02-27",31.7639331817627,207.745986938477,31.8833293914795,22.9331569671631,91.9660263061523
"2017-02-28",31.7778625488281,210.379852294922,32.1052169799805,22.8261184692383,91.0885391235352
"2017-03-01",32.4273643493652,210.679153442383,32.2582473754883,23.0268173217773,92.368537902832
"2017-03-02",32.2348403930664,208.314651489258,32.4954566955566,23.0870265960693,91.2817535400391
"2017-03-03",32.4250411987305,212.26545715332,32.503101348877,23.0937175750732,91.2415008544922
"2017-03-06",32.3229942321777,210.28010559082,32.2735557556152,22.9799919128418,90.8953475952148
"2017-03-07",32.3647384643555,210.808853149414,32.1281890869141,22.7391490936279,90.6860427856445
"2017-03-08",32.2441139221191,208.643890380859,32.1281890869141,22.6856307983398,90.0017776489258
"2017-03-09",32.1698875427246,208.893325805664,32.1587867736816,22.7792892456055,90.3157119750977
"2017-03-10",32.2765922546387,210.798873901367,32.357723236084,22.819429397583,90.694091796875
"2017-03-13",32.2905197143555,212.245498657227,32.4426383972168,22.819429397583,91.2898101806641
"2017-03-14",32.2417984008789,211.806533813477,32.396312713623,22.8930206298828,90.2352142333984
"2017-03-15",32.5827941894531,214.629943847656,32.5120964050293,23.1673069000244,91.1609954833984
"2017-03-16",32.636157989502,211.068252563477,32.612434387207,23.033504486084,91.1609954833984
"2017-03-17",32.4737701416016,210.798873901367,32.4426383972168,22.9599170684814,90.3318252563477
"2017-03-20",32.8147735595703,215.607681274414,32.5583992004395,23.0000629425049,90.1627655029297
"2017-03-21",32.4389724731445,205.221862792969,32.8054122924805,22.9130840301514,89.6717071533203
"2017-03-22",32.8054962158203,209.14274597168,32.7128028869629,23.060266494751,89.2208786010742
"2017-03-23",32.6894950866699,207.696105957031,32.5506896972656,22.9398460388184,88.9632797241211
"2017-03-24",32.6245498657227,210.369857788086,32.5120964050293,22.7458438873291,89.6475448608398
"2017-03-27",32.6802291870117,211.078216552734,32.6664772033691,22.8662605285645,89.9454193115234
"2017-03-28",33.3575782775879,211.018356323242,32.751392364502,22.8528823852539,90.4928283691406
